Title,Date
"Vis a vis: Temporada 3: O que sabemos sobre os monstros","08/11/2019"
"Vis a vis: Temporada 3: Fomos garotas","08/11/2019"
"Vis a vis: Temporada 3: Seis meses é muito tempo","08/11/2019"
"Vis a vis: Temporada 3: Alguém que desse bola","07/11/2019"
"Vis a vis: Temporada 3: A bandeira no muro","07/11/2019"
"Vis a vis: Temporada 3: Um grão de arroz","07/11/2019"
"Vis a vis: Temporada 3: Muito fácil ou muito difícil","07/11/2019"
"Vis a vis: Temporada 2: Líquido","06/11/2019"
"Vis a vis: Temporada 2: Banana e limão","06/11/2019"
"Vis a vis: Temporada 2: Protetora dos desesperados","05/11/2019"
"Vis a vis: Temporada 2: Pecados e confusões","05/11/2019"
"Vis a vis: Temporada 2: Prendendo os dedos","03/11/2019"
"Vis a vis: Temporada 2: A vida continua","03/11/2019"
"Vis a vis: Temporada 2: Um dia de campo","02/11/2019"
"Vis a vis: Temporada 2: Os macacos","02/11/2019"
"Vis a vis: Temporada 2: Na linha de fogo","31/10/2019"
"Vis a vis: Temporada 2: Um corpo no porta-malas","31/10/2019"
"Vis a vis: Temporada 2: A pequena galinha","31/10/2019"
"Suits: Temporada 1: Piloto: partes 1 e 2","30/10/2019"
"Vis a vis: Temporada 2: Lar, doce lar","30/10/2019"
"Zodíaco","29/10/2019"
"Vis a vis: Temporada 2: Duas armas a um macaco","29/10/2019"
"Vis a vis: Temporada 1: O princípio das tartarugas","29/10/2019"
"Vis a vis: Temporada 1: Gato cinza","29/10/2019"
"A Lavanderia","28/10/2019"
"Capitão América: Guerra Civil","27/10/2019"
"Vis a vis: Temporada 1: Quid pro quo","26/10/2019"
"Vis a vis: Temporada 1: Mulher bonita","26/10/2019"
"Vis a vis: Temporada 1: Às cinco em ponto","23/10/2019"
"Vis a vis: Temporada 1: Alguém vem buscar você","23/10/2019"
"O Código Bill Gates: Minissérie: Parte 3","18/10/2019"
"O Código Bill Gates: Minissérie: Parte 2","18/10/2019"
"O Código Bill Gates: Minissérie: Parte 1","18/10/2019"
"Vis a vis: Temporada 1: Dura realidade","30/09/2019"
"Vis a vis: Temporada 1: Um dia no mato","27/09/2019"
"Vis a vis: Temporada 1: Nada acontece por acaso","16/09/2019"
"Vis a vis: Temporada 1: Consertando Sininho","11/09/2019"
"Vis a vis: Temporada 1: Mosca-morta","10/09/2019"
"Gênio indomável","25/08/2019"
"Fome de Poder","25/08/2019"
"A rede social","25/08/2019"
"Missão no Mar Vermelho","24/08/2019"
"Narcos: Temporada 1: Haverá um futuro","14/08/2019"
"Narcos: Temporada 1: O palácio em chamas","14/08/2019"
"Narcos: Temporada 1: Os homens de sempre","05/08/2019"
"Narcos: Temporada 1: A espada de Simón Bolívar","05/08/2019"
"Narcos: Temporada 1: A chegada","05/08/2019"
"O Mecanismo: Temporada 1: Lava Jato","16/07/2019"
